       IMG  PEOU   VIS   VOI   PUA   RES   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
IMG  1.000                                                                              
PEOU 0.347 1.000                                                                        
VIS  0.428 0.557 1.000                                                                  
VOI  0.595 0.091 0.266 1.000                                                            
PUA  0.373 0.770 0.516 0.110 1.000                                                      
RES  0.330 0.790 0.503 0.091 0.739 1.000                                                
SQR  0.597 0.375 0.319 0.434 0.415 0.369 1.000                                          
SR   0.529 0.050 0.121 0.611 0.095 0.048 0.546 1.000                                    
LS   0.536 0.707 0.523 0.260 0.845 0.679 0.525 0.227 1.000                              
PPC  0.519 0.728 0.528 0.291 0.795 0.696 0.528 0.219 0.825 1.000                        
PS   0.369 0.762 0.518 0.092 0.903 0.754 0.413 0.098 0.821 0.768 1.000                  
PUI  0.391 0.780 0.514 0.091 0.936 0.756 0.402 0.078 0.835 0.827 0.901 1.000            
TKR  0.613 0.454 0.363 0.540 0.483 0.424 0.567 0.465 0.549 0.593 0.478 0.491 1.000      
WEI  0.531 0.738 0.598 0.257 0.834 0.715 0.534 0.263 0.862 0.778 0.825 0.838 0.595 1.000
