       IMG  PEOU   VIS   VOI   PUA   SQR    SR    LS   PPC    PS   PUI   TKR   WEI
IMG  1.000                                                                        
PEOU 0.343 1.000                                                                  
VIS  0.427 0.556 1.000                                                            
VOI  0.594 0.086 0.258 1.000                                                      
PUA  0.375 0.765 0.517 0.106 1.000                                                
SQR  0.596 0.370 0.317 0.431 0.409 1.000                                          
SR   0.530 0.050 0.120 0.610 0.098 0.545 1.000                                    
LS   0.539 0.700 0.523 0.254 0.846 0.519 0.228 1.000                              
PPC  0.523 0.723 0.528 0.290 0.795 0.527 0.221 0.826 1.000                        
PS   0.372 0.757 0.518 0.087 0.903 0.408 0.099 0.821 0.769 1.000                  
PUI  0.393 0.777 0.513 0.089 0.935 0.400 0.077 0.833 0.827 0.901 1.000            
TKR  0.610 0.455 0.363 0.538 0.483 0.561 0.465 0.547 0.592 0.476 0.490 1.000      
WEI  0.533 0.736 0.600 0.252 0.834 0.532 0.263 0.861 0.779 0.825 0.839 0.594 1.000
