       IMG  PEOU   VIS   VOI   SQR    SR    LS   PPC    PS   TKR   WEI
IMG  1.000                                                            
PEOU 0.347 1.000                                                      
VIS  0.428 0.566 1.000                                                
VOI  0.597 0.109 0.267 1.000                                          
SQR  0.602 0.392 0.318 0.431 1.000                                    
SR   0.536 0.044 0.119 0.613 0.543 1.000                              
LS   0.533 0.701 0.526 0.266 0.534 0.232 1.000                        
PPC  0.525 0.742 0.536 0.286 0.521 0.209 0.837 1.000                  
PS   0.369 0.766 0.518 0.093 0.415 0.095 0.824 0.782 1.000            
TKR  0.617 0.452 0.369 0.537 0.578 0.468 0.547 0.597 0.475 1.000      
WEI  0.530 0.740 0.599 0.257 0.541 0.265 0.865 0.792 0.819 0.592 1.000
