            IoIT   EoA   EoI   IMG   PEOU   VIS   VOI   SQR     SR    LS   PPC    PS   TKR   WEI
IMG        0.814 0.000 0.000 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU       0.674 0.000 0.000 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS        0.702 0.000 0.000 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VOI        0.622 0.000 0.000 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SQR        0.000 0.908 0.000 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SR         0.000 0.785 0.000 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
LS         0.000 0.000 0.885 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PPC        0.000 0.000 0.875 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PS         0.000 0.000 0.872 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
TKR        0.000 0.000 0.709 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
WEI        0.000 0.000 0.893 0.000  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG1   0.000 0.000 0.000 0.888  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG2   0.000 0.000 0.000 0.876  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG3   0.000 0.000 0.000 0.885  0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU1 0.000 0.000 0.000 0.000  0.786 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU2 0.000 0.000 0.000 0.000  0.821 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU3 0.000 0.000 0.000 0.000  0.837 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU4 0.000 0.000 0.000 0.000  0.803 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
