indicator loadings (>.708)
            IoIT   EoA   EoI   IMG  PEOU   VIS   VOI   SQR     SR    LS   PPC    PS   TKR   WEI
IMG        0.802 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU       0.694 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS        0.705 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VOI        0.634 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SQR        0.000 0.910 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SR         0.000 0.792 0.000 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
LS         0.000 0.000 0.894 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PPC        0.000 0.000 0.872 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PS         0.000 0.000 0.862 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
TKR        0.000 0.000 0.701 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
WEI        0.000 0.000 0.899 0.000 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG1   0.000 0.000 0.000 0.896 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG2   0.000 0.000 0.000 0.899 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG3   0.000 0.000 0.000 0.889 0.000 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU1 0.000 0.000 0.000 0.000 0.795 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU2 0.000 0.000 0.000 0.000 0.815 0.000 0.000 0.000 -0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU3 0.000 0.000 0.000 0.000 0.839 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU4 0.000 0.000 0.000 0.000 0.820 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU6 0.000 0.000 0.000 0.000 0.803 0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS1   0.000 0.000 0.000 0.000 0.000 0.851 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS2   0.000 0.000 0.000 0.000 0.000 0.854 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
