indicator loadings (>.708)
            IoIT   EoA   EoI   IMG   PEOU   VIS   SQR     SR    LS   PPC    PS   TKR   WEI
IMG        0.765 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU       0.773 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS        0.759 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SQR        0.000 0.929 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SR         0.000 0.751 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
LS         0.000 0.000 0.887 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PPC        0.000 0.000 0.876 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PS         0.000 0.000 0.879 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
TKR        0.000 0.000 0.695 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
WEI        0.000 0.000 0.896 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG1   0.000 0.000 0.000 0.888  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG2   0.000 0.000 0.000 0.876  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
IMG.IMG3   0.000 0.000 0.000 0.885  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU1 0.000 0.000 0.000 0.000  0.786 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU2 0.000 0.000 0.000 0.000  0.821 0.000 0.000 -0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU3 0.000 0.000 0.000 0.000  0.837 0.000 0.000 -0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU4 0.000 0.000 0.000 0.000  0.803 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
PEOU.PEOU6 0.000 0.000 0.000 0.000  0.788 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS1   0.000 0.000 0.000 0.000  0.000 0.842 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS2   0.000 0.000 0.000 0.000  0.000 0.839 0.000  0.000 0.000 0.000 0.000 0.000 0.000
VIS.VIS3   0.000 0.000 0.000 0.000  0.000 0.855 0.000  0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR1   0.000 0.000 0.000 0.000  0.000 0.000 0.835  0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR2   0.000 0.000 0.000 0.000  0.000 0.000 0.844  0.000 0.000 0.000 0.000 0.000 0.000
SQR.SQR3   0.000 0.000 0.000 0.000  0.000 0.000 0.816  0.000 0.000 0.000 0.000 0.000 0.000
SR.SR1     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.879 0.000 0.000 0.000 0.000 0.000
SR.SR2     0.000 0.000 0.000 0.000 -0.000 0.000 0.000  0.842 0.000 0.000 0.000 0.000 0.000
SR.SR3     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.892 0.000 0.000 0.000 0.000 0.000
SR.SR4     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.884 0.000 0.000 0.000 0.000 0.000
LS.LS1     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.725 0.000 0.000 0.000 0.000
LS.LS2     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.703 0.000 0.000 0.000 0.000
LS.LS3     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.751 0.000 0.000 0.000 0.000
LS.LS4     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.785 0.000 0.000 0.000 0.000
LS.LS5     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.779 0.000 0.000 0.000 0.000
LS.LS6     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.791 0.000 0.000 0.000 0.000
LS.LS7     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.719 0.000 0.000 0.000 0.000
LS.LS8     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.802 0.000 0.000 0.000 0.000
PPC.PPC1   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.773 0.000 0.000 0.000
PPC.PPC2   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.727 0.000 0.000 0.000
PPC.PPC3   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.754 0.000 0.000 0.000
PPC.PPC4   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.788 0.000 0.000 0.000
PPC.PPC5   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.747 0.000 0.000 0.000
PPC.PPC6   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.782 0.000 0.000 0.000
PS.PS1     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.812 0.000 0.000
PS.PS2     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.808 0.000 0.000
PS.PS3     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000
PS.PS4     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.774 0.000 0.000
PS.PS5     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.791 0.000 0.000
PS.PS6     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.777 0.000 0.000
PS.PS7     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.801 0.000 0.000
PS.PS8     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.777 0.000 0.000
PS.PS9     0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.810 0.000 0.000
PS.PS10    0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.738 0.000 0.000
PS.PS11    0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.783 0.000 0.000
TKR.TKR1   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.831 0.000
TKR.TKR2   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.831 0.000
TKR.TKR3   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.805 0.000
TKR.TKR4   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.826 0.000
WEI.WEI1   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.764
WEI.WEI2   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.738
WEI.WEI3   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.784
WEI.WEI4   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.781
WEI.WEI5   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.785
WEI.WEI6   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.755
WEI.WEI7   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.790
WEI.WEI8   0.000 0.000 0.000 0.000  0.000 0.000 0.000  0.000 0.000 0.000 0.000 0.000 0.794


indicator reliability (>.500)
            IoIT   EoA   EoI   IMG  PEOU   VIS   SQR    SR    LS   PPC    PS   TKR   WEI
IMG        0.585 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
PEOU       0.597 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
VIS        0.575 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SQR        0.000 0.862 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
SR         0.000 0.564 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
