       IMG  PEOU   VIS   VOI   PUA   RES   SQR    SR    LS   PPC    PS   TKR   WEI
IMG  1.000                                                                        
PEOU 0.367 1.000                                                                  
VIS  0.428 0.578 1.000                                                            
VOI  0.440 0.241 0.361 1.000                                                      
PUA  0.435 0.783 0.539 0.258 1.000                                                
RES  0.743 0.883 0.579 0.440 0.721 1.000                                          
SQR  0.622 0.492 0.377 0.535 0.533 0.925 1.000                                    
SR   0.536 0.055 0.119 0.493 0.122 0.189 0.528 1.000                              
LS   0.533 0.705 0.526 0.392 0.881 0.958 0.570 0.232 1.000                        
PPC  0.525 0.753 0.536 0.414 0.849 0.981 0.553 0.209 0.837 1.000                  
PS   0.369 0.750 0.532 0.179 0.896 0.729 0.481 0.094 0.812 0.762 1.000            
TKR  0.617 0.477 0.369 0.420 0.528 0.886 0.658 0.468 0.547 0.597 0.462 1.000      
WEI  0.530 0.733 0.599 0.385 0.868 1.080 0.626 0.265 0.865 0.792 0.815 0.592 1.000
