       IMG  PEOU   VIS   VOI   PUA   RES   SQR    SR    LS   PPC    PS   TKR   WEI
IMG  1.000                                                                        
PEOU 0.364 1.000                                                                  
VIS  0.425 0.577 1.000                                                            
VOI  0.449 0.243 0.360 1.000                                                      
PUA  0.434 0.781 0.542 0.249 1.000                                                
RES  0.767 0.895 0.640 0.428 0.779 1.000                                          
SQR  0.615 0.486 0.390 0.534 0.536 0.964 1.000                                    
SR   0.534 0.059 0.128 0.439 0.128 0.183 0.531 1.000                              
LS   0.538 0.686 0.519 0.394 0.872 1.029 0.568 0.223 1.000                        
PPC  0.523 0.741 0.541 0.402 0.848 1.002 0.563 0.204 0.839 1.000                  
PS   0.367 0.747 0.525 0.182 0.897 0.778 0.493 0.091 0.817 0.786 1.000            
TKR  0.614 0.471 0.371 0.462 0.525 0.907 0.662 0.470 0.542 0.598 0.475 1.000      
WEI  0.529 0.728 0.601 0.379 0.869 1.112 0.628 0.264 0.859 0.790 0.822 0.589 1.000
