                         vars   n     mean       sd   median  trimmed      mad      min      max    range  skew kurtosis       se
id                          1 479 1.63e+03 8.15e+02 1.80e+03 1.67e+03 5.14e+02 2.40e+01 2.87e+03 2.85e+03 -0.61    -0.57 3.72e+01
lastpage                    2 479 3.70e+01 0.00e+00 3.70e+01 3.70e+01 0.00e+00 3.70e+01 3.70e+01 0.00e+00   NaN      NaN 0.00e+00
seed                        3 479 1.05e+09 6.13e+08 1.04e+09 1.04e+09 7.97e+08 3.44e+06 2.13e+09 2.13e+09  0.04    -1.22 2.80e+07
OWNEXPERIENCE               4 479 1.00e+00 0.00e+00 1.00e+00 1.00e+00 0.00e+00 1.00e+00 1.00e+00 0.00e+00   NaN      NaN 0.00e+00
IMG.IMG1                    5 479 4.62e+00 1.75e+00 5.00e+00 4.73e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.44    -0.70 8.00e-02
IMG.IMG2                    6 479 4.79e+00 1.69e+00 5.00e+00 4.91e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.51    -0.59 8.00e-02
IMG.IMG3                    7 479 4.68e+00 1.81e+00 5.00e+00 4.82e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.49    -0.74 8.00e-02
PEOU.PEOU1                  8 479 5.87e+00 1.11e+00 6.00e+00 6.02e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -1.28     2.38 5.00e-02
PEOU.PEOU2                  9 479 5.78e+00 1.15e+00 6.00e+00 5.93e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -1.01     0.95 5.00e-02
PEOU.PEOU3                 10 479 5.59e+00 1.28e+00 6.00e+00 5.75e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.90     0.28 6.00e-02
PEOU.PEOU4                 11 479 5.55e+00 1.26e+00 6.00e+00 5.70e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.92     0.61 6.00e-02
PEOU.PEOU5                 12 479 5.10e+00 1.39e+00 5.00e+00 5.18e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.51    -0.35 6.00e-02
PEOU.PEOU6                 13 479 5.43e+00 1.28e+00 6.00e+00 5.55e+00 1.48e+00 1.00e+00 7.00e+00 6.00e+00 -0.71     0.09 6.00e-02
