       IMG  PEOU   VIS   VOI   PUA   RES   SQR    SR    LS   PPC    PS    PU   TKR   WEI
IMG  1.000                                                                              
PEOU 0.383 1.000                                                                        
VIS  0.428 0.557 1.000                                                                  
VOI  0.475 0.278 0.400 1.000                                                            
PUA  0.434 0.809 0.554 0.262 1.000                                                      
RES  0.727 1.006 0.693 0.474 0.858 1.000                                                
SQR  0.578 0.538 0.423 0.528 0.572 0.915 1.000                                          
SR   0.526 0.056 0.125 0.508 0.140 0.160 0.477 1.000                                    
LS   0.524 0.735 0.552 0.382 0.876 1.036 0.588 0.237 1.000                              
PPC  0.520 0.758 0.519 0.436 0.849 1.055 0.575 0.230 0.842 1.000                        
PS   0.363 0.780 0.524 0.173 0.917 0.777 0.488 0.068 0.818 0.788 1.000                  
PU   0.446 0.791 0.542 0.204 0.957 0.837 0.553 0.102 0.874 0.857 0.911 1.000            
TKR  0.611 0.541 0.439 0.492 0.544 0.872 0.662 0.464 0.554 0.640 0.455 0.560 1.000      
WEI  0.544 0.765 0.610 0.404 0.874 1.101 0.671 0.269 0.872 0.816 0.828 0.880 0.627 1.000
